name,slug,released,genre,rating,metacritic
Exit the Gungeon,exit-the-gungeon,2020-03-16,Indie,3.71,
Frog Fractions: Game of the Decade Edition,frog-fractions-game-of-the-decade-edition,2020-08-02,Adventure,0.0,
SUCCUBUS: Prologue,succubus-prologue,2020-07-24,Indie,0.0,
Coloring Game 2,coloring-game-2-2,2020-01-10,Casual,0.0,
New World,new-world-2,2020-08-25,Massively Multiplayer,3.17,
West of Dead Beta,west-of-dead-beta,2020-03-31,Indie,3.83,
Drake Hollow,drake-hollow,2020-10-01,Indie,0.0,78.0
Bless Unleashed,bless-unleashed,2020-03-12,Massively Multiplayer,0.0,
Destroy All Humans! (2020),destroy-all-humans-2019,2020-07-28,Shooter,3.18,71.0
THE LONGING,the-longing,2020-03-04,Indie,4.27,
Torchlight III,torchlight-iii,2020-10-13,Adventure,2.75,64.0
Island Saver,island-saver,2020-05-12,Adventure,3.5,
Syberia: The World Before - Prologue,syberia-the-world-before-prologue,2020-10-08,Adventure,0.0,
Persona 5 Scramble: The Phantom Strikers,persona-5-scramble-the-phantom-strikers,2020-02-20,Action,0.0,
Mass Effect: Andromeda Deluxe Edition,mass-effect-andromeda-deluxe-edition,2020-06-11,Action,0.0,
The Riftbreaker: Prologue,the-riftbreaker-prologue,2020-08-04,Adventure,0.0,
The Dark Pictures Anthology: Little Hope,the-dark-pictures-anthology-little-hope,2020-10-30,Adventure,3.33,
Hellpoint: The Thespian Feast,hellpoint-the-thespian-feast,2020-02-19,Indie,0.0,
Biped,biped,2020-03-26,Adventure,4.31,72.0
Rogue Legacy 2,rogue-legacy-2,2020-08-18,Indie,0.0,
Creaks,creaks,2020-07-22,Indie,3.58,81.0
HyperDot,hyperdot,2020-01-31,Indie,3.29,
Black Skylands: Origins,black-skylands-origins,2020-04-30,Indie,0.0,
BEAUTIFUL DESOLATION,beautiful-desolation,2020-02-26,Casual,2.85,76.0
Total War Saga: TROY,total-war-saga-troy,2020-08-13,Strategy,3.08,75.0
Yakuza Remastered Collection,yakuza-remastered-collection,2020-02-11,Action,4.11,83.0
Hellpoint,hellpoint,2020-07-30,Indie,3.22,63.0
Mega Man Zero/ZX Legacy Collection,mega-man-zerozx-legacy-collection,2020-02-25,Platformer,3.58,
The Last Campfire,the-last-campfire,2020-08-27,Indie,4.09,79.0
Drug Dealer Simulator: Free Sample,drug-dealer-simulator-free-sample,2020-04-03,Casual,2.44,
Kill It With Fire: Ignition,kill-it-with-fire-ignition,2020-04-28,Casual,0.0,
Mass Effect 3 N7 Digital Deluxe Edition,mass-effect-3-n7-digital-deluxe-edition,2020-06-11,Strategy,4.0,
Ninja Kiwi Archive,ninja-kiwi-archive,2020-07-08,Casual,0.0,
Commandos 2 - HD Remaster,commandos-2-hd-remaster,2020-01-23,Strategy,3.44,60.0
NBA 2K21,nba-2k21,2020-09-04,Simulation,2.22,67.0
Predator: Hunting Grounds,predator-hunting-grounds,2020-04-24,Shooter,2.46,59.0
Hidden Through Time,hidden-through-time,2020-03-12,Casual,3.62,
Coloring Game 3,coloring-game-3,2020-04-17,Casual,0.0,
Sludge Life,sludge-life,2020-05-28,Action,3.93,
Othercide,othercide,2020-07-27,Strategy,2.77,76.0
Legends of Runeterra,legends-of-runeterra,2020-04-28,Card,3.64,87.0
Post Void,post-void,2020-08-06,Shooter,3.73,
Crysis Remastered,crysis-remastered,2020-09-18,Shooter,3.1,66.0
Super Mario 3D All-Stars,super-mario-3d-all-stars,2020-09-18,Platformer,4.24,82.0
LUNA The Shadow Dust,luna-the-shadow-dust,2020-02-13,Indie,3.38,
Beyond Blue,beyond-blue,2020-06-11,Adventure,3.0,73.0
Röki,roki,2020-07-23,Indie,4.22,
Enemy On Board,enemy-on-board,2020-05-08,Indie,0.0,
Littlewood,littlewood,2020-08-04,Casual,3.92,
Windbound,windbound,2020-08-27,Indie,3.12,63.0
Kingdom Hearts III: Re Mind,kingdom-hearts-iii-re-mind,2020-01-23,RPG,3.77,66.0
Parkasaurus,parkasaurus,2020-08-13,Simulation,3.9,73.0
Pokémon Mystery Dungeon: Rescue Team DX,pokemon-mystery-dungeon-rescue-team-dx,2020-03-06,Strategy,3.96,
Sprout,sprout,2020-07-30,Adventure,3.14,
Vagrus - The Riven Realms: Prologue,vagrus-the-riven-realms-prologue,2020-05-26,Strategy,0.0,
Rustler: Prologue,rustler-prologue,2020-04-09,Racing,0.0,
Darwin Project,darwin-project,2020-01-14,Action,2.62,
Soviet Jump Game,soviet-jump-game,2020-01-09,Casual,0.0,
Tokyo Mirage Sessions ♯FE Encore,tokyo-mirage-sessions-fe-encore,2020-01-17,RPG,4.4,
Quantum League - Free Open Beta,quantum-league-free-open-beta,2020-02-21,Strategy,0.0,
ONE PIECE: PIRATE WARRIORS 4,one-piece-pirate-warriors-4,2020-03-26,Action,3.25,
Murder by Numbers,murder-by-numbers,2020-03-05,Indie,3.33,
Shantae and the Seven Sirens,shantae-and-the-seven-sirens,2020-05-27,Platformer,3.21,76.0
Help Will Come Tomorrow,help-will-come-tomorrow,2020-04-20,Strategy,3.23,
