PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
vertigo-games,Vertigo Games,9.0,2020-11-29
ellada-games,Ellada Games,3.0,2020-11-29
fireblade-software,Fireblade Software,1.0,2020-11-29
jast-usa,JAST USA,27.0,2020-11-29
muzt-die-studios,Muzt Die Studios,2.0,2020-11-29
dangen-entertainment,DANGEN Entertainment,19.0,2020-11-29
ground-shatter,Ground Shatter,2.0,2020-11-29
assemble-entertainment,Assemble Entertainment,31.0,2020-11-29
lionbite-games,Lionbite Games,1.0,2020-11-29
viz-media,VIZ Media,3.0,2020-11-29
shoot-girl,Shoot Girl,1.0,2020-11-29
iceberg-interactive,Iceberg Interactive,69.0,2020-11-29
mestiez,mestiez,1.0,2020-11-29
wargaming,Wargaming,3.0,2020-11-29
mografi,Mografi,2.0,2020-11-29
paradise-project,Paradise Project,3.0,2020-11-29
quiet-river,Quiet River,23.0,2020-11-29
crescent-moon-games-llc,Crescent Moon Games LLC,92.0,2020-11-29
microids-2,Microids,114.0,2020-11-29
vox-games,Vox Games,1.0,2020-11-29
asterion-games,Asterion Games,3.0,2020-11-29
long-entertainment-company-limited,Long Entertainment Company Limited,2.0,2020-11-29
eugen-systems,Eugen Systems,2.0,2020-11-29
dsgame,DSGame,11.0,2020-11-29
zee-vital,Zee Vital,4.0,2020-11-29
ironward,Ironward,2.0,2020-11-29
idea-factory,Idea Factory,25.0,2020-11-29
inverse-game,Inverse Game,4.0,2020-11-29
soedesco-publishing,SOEDESCO Publishing,20.0,2020-11-29
10tons-ltd,10tons Ltd,37.0,2020-11-29
paranoid-productions,Paranoid Productions,1.0,2020-11-29
nicalis,Nicalis,33.0,2020-11-29
ratalaika-games-sl,Ratalaika Games S.L.,18.0,2020-11-29
nexile,Nexile,1.0,2020-11-29
sfb-games,SFB Games,3.0,2020-11-29
winged-cloud,Winged Cloud,29.0,2020-11-29
shotgun-with-glitters,Shotgun with Glitters,2.0,2020-11-29
bossa-studios,Bossa Studios,14.0,2020-11-29
tower-games,Tower Games,1.0,2020-11-29
excalibur-games,Excalibur Games,26.0,2020-11-29
frostwood-interactive,Frostwood Interactive,1.0,2020-11-29
forever-entertainment-s-a,Forever Entertainment,106.0,2020-11-29
fdg-entertainment,FDG Entertainment,6.0,2020-11-29
